NOM;1_COM_PRE
// Auto-generated by update-wordinfo-compound.ps1
// Compound words (as prefix), e.g. Piraten in Piratengruppe
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; compound; 1} looks up 1_COM_PRE.
// ---
// DefInjected\FactionDef\* (\w+\.pawnSingular)
Gildenmitglied;Gildenmitglieder
Kolonist;Kolonisten
Pirat;Piraten
// DefInjected\ThingDef\Plants_* (\w+\.label)
Archebaum;Archebaum
Archebaumstumpf;Archebaumstumpf
Archesamen;Archesamen
Beerenstrauch;Beerenstrauch
Boompilz;Boompilz
Busch;Busch
Dornenranke;Dornenranken
Dornenstrauch;Dornenstrauch
Feuerkraut;Feuerkraut
gelbes Gras;Gras
hohes gelbes Gras;Gras
Knorrwurzbaum;Knorrwurzbaum
Lotus;Lotus
Magmakaktus;Magmakakteen
Nachtgras;Nachtgras
Nachtrafflesie;Nachtrafflesien
Psilopilz;Psilopilz
Rohrkolben;Rohrkolben
Schilf;Schilf
Seerosenblatt;Seerosenblätter
Weidenlamellenpilz;Weidenlamellenpilz
wilde Baumwollpflanze;Baumwollpflanzen
wilde Erdbeerpflanze;Erdbeerpflanzen
wilde Psychoidpflanze;Psychoidpflanzen
wilde Rauchblattpflanze;Rauchblattpflanzen
wilde Tinktoria;Tinktoria
wilder Fasermais;Fasermais
wilder Kakaobaum;Kakaobaum
// DefInjected\*\Races_* (\w+\.label)
Alligator;Alligatoren
Alphathrumbo;Alphathrumbo
Ara;Ara
Dachs;Dachs
Einsiedlerkrebs;Einsiedlerkrebs
Elch;Elch
Flamingo;Flamingo
Flusspferd;Flusspferd
Geier;Geier
Gorilla;Gorilla
Großwolf;Großwolfs
Gürteltier;Gürteltier
Heuschrecke;Heuschrecken
Hüttensänger;Hüttensänger
Jägerdrohne;Jägerdrohnen
Kolosskröte;Kolosskröten
Krähe;Krähen
Larve;Larven
Lavaschnecke;Lavaschnecken
Mastodon;Mastodon
Meeresschildkröte;Meeresschildkröten
Megawühlmaus;Megawühlmaus
Moorhund;Moorhunde
Moschusochse;Moschusochsen
Nerz;Nerz
Ochsenfrosch;Ochsenfrosch
Otter;Otter
Panda;Panda
Pfau;Pfauen
Pinguin;Pinguin
Präriehund;Präriehunde
Reiher;Reiher
Schwan;Schwanen
Schwarmkönigin;Schwarmkönigin
Scimitarkatze;Scimitarkatzen
Seehund;Seehund
Seelöwe;Seelöwen
Spatz;Spatzen
Stachelschwein;Stachelschwein
Steinkrabbe;Steinkrabben
Tiger;Tiger
Vielfraß;Vielfraß
Wachtel;Wachtel
Wächterdrohne;Wächterdrohnen
Walross;Walross
Waran;Waran
Wespe;Wespen
Zyklop;Zyklopen
