KEY;1_NOM;2_GEN;3_DAT;4_ACC;5_NOM_ART;6_GEN_ART;7_DAT_ART;8_ACC_ART
// Plural declension (without and with article)
// NOTE: Ingame pluralization use this file automatically (always index 1).
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural; 2} looks up 2_GEN.
// ---
// DefInjected\FactionDef\* (.+\.pawnSingular)
Bettler;Bettler;Bettler;Bettlern;Bettler;Bettler;Bettler;Bettlern;Bettler
Pilger;Pilger;Pilger;Pilgern;Pilger;Pilger;Pilger;Pilgern;Pilger
Pirat;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten
Ureinwohner;Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner;Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner
// DefInjected\RitualBehaviorDef\* (.+\.label)
Blender;Blender;Blender;Blendern;Blender;Blender;Blender;Blendern;Blender
Duellant;Duellanten;Duellanten;Duellanten;Duellanten;Duellanten;Duellanten;Duellanten;Duellanten
Gefangener;Gefangenen;Gefangenen;Gefangenen;Gefangenen;Gefangenen;Gefangenen;Gefangenen;Gefangenen
Helfer;Helfer;Helfer;Helfern;Helfer;Helfer;Helfer;Helfern;Helfer
Henker;Henker;Henker;Henkern;Henker;Henker;Henker;Henkern;Henker
Konvertit;Konvertiten;Konvertiten;Konvertiten;Konvertiten;Konvertiten;Konvertiten;Konvertiten;Konvertiten
Narbenmacher;Narbenmacher;Narbenmacher;Narbenmachern;Narbenmacher;Narbenmacher;Narbenmacher;Narbenmachern;Narbenmacher
Opfergabe;Opfergaben;Opfergaben;Opfergaben;Opfergaben;Opfergaben;Opfergaben;Opfergaben;Opfergaben
Redner;Redner;Redner;Rednern;Redner;Redner;Redner;Rednern;Redner
Richter;Richter;Richter;Richtern;Richter;Richter;Richter;Richtern;Richter
Rollenwechsler;Rollenwechsler;Rollenwechsler;Rollenwechslern;Rollenwechsler;Rollenwechsler;Rollenwechsler;Rollenwechslern;Rollenwechsler
Verbinder;Verbinder;Verbinder;Verbindern;Verbinder;Verbinder;Verbinder;Verbindern;Verbinder
Verurteilter;Verurteilte;Verurteilter;Verurteilten;Verurteilte;Verurteilten;Verurteilten;Verurteilten;Verurteilten
Vollstrecker;Vollstrecker;Vollstrecker;Vollstreckern;Vollstrecker;Vollstrecker;Vollstrecker;Vollstreckern;Vollstrecker
Ziel;Ziele;Ziele;Zielen;Ziele;Ziele;Ziele;Zielen;Ziele
// DefInjected\ThingDef\Plants_* (.+\.label)
Bonsai-Baum;Bonsai-Bäume;Bonsai-Bäume;Bonsai-Bäumen;Bonsai-Bäume;Bonsai-Bäume;Bonsai-Bäume;Bonsai-Bäumen;Bonsai-Bäume
Fasermais;Fasermaise;Fasermaise;Fasermaisen;Fasermaise;Fasermaise;Fasermaise;Fasermaisen;Fasermaise
Gauralanbaum;Gauralanbäume;Gauralanbäume;Gauralanbäumen;Gauralanbäume;Gauralanbäume;Gauralanbäume;Gauralanbäumen;Gauralanbäume
Gauralanbaumstumpf;Gauralanbaumstümpfe;Gauralanbaumstümpfe;Gauralanbaumstümpfen;Gauralanbaumstümpfe;Gauralanbaumstümpfe;Gauralanbaumstümpfe;Gauralanbaumstümpfen;Gauralanbaumstümpfe
Gauralankapsel;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln
Gauralanmoos;Gauralanmoose;Gauralanmoose;Gauralanmoosen;Gauralanmoose;Gauralanmoose;Gauralanmoose;Gauralanmoosen;Gauralanmoose
Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen
Holzpilz;Holzpilze;Holzpilze;Holzpilzen;Holzpilze;Holzpilze;Holzpilze;Holzpilzen;Holzpilze
Nutrifungus;Nutrifungi;Nutrifungi;Nutrifungi;Nutrifungi;Nutrifungi;Nutrifungi;Nutrifungi;Nutrifungi
// Keyed\FloatMenu.xml (Deity)
Gottheit;Gottheiten;Gottheiten;Gottheiten;Gottheiten;Gottheiten;Gottheiten;Gottheiten;Gottheiten
